SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1218,Network 2,District,North Lakefront,ROGERS PARK,3
1219,Network 13,District,Greater Calumet,EAST SIDE,8
1220,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1221,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1222,Network 12,District,Greater Stony Island,ROSELAND,7
1224,Network 11,District,South Side,WEST ENGLEWOOD,1
1225,Network 4,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1226,Network 13,District,Greater Calumet,WEST PULLMAN,8
1227,Network 13,District,Greater Calumet,HEGEWISCH,8
1228,Network 2,District,North Lakefront,UPTOWN,3
1229,Network 6,District,Greater Stockyards,NEW CITY,10
1231,Network 1,District,Far Northwest Side,PORTAGE PARK,5
1232,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1233,Network 9,District,Bronzeville / South Lakefront,KENWOOD,6
1234,Network 8,District,Greater Stockyards,MCKINLEY PARK,10
1235,Network 5,District,West Side,EAST GARFIELD PARK,2
1236,Network 11,District,South Side,AUBURN GRESHAM,1
1237,Network 10,District,Greater Midway,CLEARING,9
1238,Network 8,District,Greater Stockyards,BRIGHTON PARK,10
1239,Network 6,District,Central Area,ARMOUR SQUARE,0
1240,Network 10,District,Greater Midway,CLEARING,9
1241,Network 12,District,Greater Stony Island,SOUTH CHICAGO,7
1242,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1243,Network 8,District,Greater Stockyards,NEW CITY,10
1244,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1245,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1246,Network 4,District,Far Northwest Side,HERMOSA,5
1247,Network 9,District,Bronzeville / South Lakefront,HYDE PARK,6
1248,Network 11,District,South Side,GREATER GRAND CROSSING,1
1249,ISP,District,Northwest Side,ALBANY PARK,4
1250,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1251,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1252,Network 3,District,West Side,AUSTIN,2
1253,Network 2,District,North Lakefront,EDGEWATER,3
1254,Network 9,District,Bronzeville / South Lakefront,WOODLAWN,6
1255,Network 13,District,Greater Calumet,PULLMAN,8
1256,Network 6,District,Greater Stockyards,BRIDGEPORT,10
1257,Network 10,District,Greater Midway,GARFIELD RIDGE,9
1258,Network 8,District,Greater Stockyards,NEW CITY,10
1259,Network 5,District,West Side,WEST GARFIELD PARK,2
1260,Network 8,District,South Side,WEST ENGLEWOOD,1
1261,Network 9,District,Greater Stockyards,FULLER PARK,10
1262,Network 1,District,Northwest Side,IRVING PARK,4
1264,ISP,District,Central Area,NEAR SOUTH SIDE,0
1265,Network 7,District,West Side,NORTH LAWNDALE,2
1266,ISP,District,Greater Stockyards,NEW CITY,10
1267,Network 1,District,Northwest Side,ALBANY PARK,4
1268,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1269,ISP,District,Greater Stockyards,BRIDGEPORT,10
1270,Network 8,District,South Side,ENGLEWOOD,1
1272,Network 3,District,West Side,AUSTIN,2
1274,Network 12,District,Greater Stony Island,CALUMET HEIGHTS,7
1275,Network 11,District,South Side,AUBURN GRESHAM,1
1276,Network 13,District,Greater Calumet,ROSELAND,8
